price,location,distance,amenities,ratings,type
21347,"Ernakulam, Cochin",,Airport shuttle Fitness centre Non-smoking rooms Room service Restaurant Free WiFi Free parking Facilities for disabled guests 24-hour front desk Breakfast ,5.7,Keys Room
11110,"Ernakulam, Cochin",,Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk Tea/coffee maker in all rooms ,7.9,[Sanitized] Standard Double Room
15000,Cochin,,2 swimming pools Airport shuttle Fitness centre Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Tea/coffee maker in all rooms Breakfast ,7.5,Executive Double Room
6000,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Room service Free WiFi Free parking Family rooms 24-hour front desk Private beach area ,8.6,Budget Double Room
8500,"Ernakulam, Cochin",,Non-smoking rooms Room service Free WiFi Free parking Family rooms Breakfast ,8.085106382978724,Standard Double Room
7900,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Room service Free WiFi Family rooms 24-hour front desk Tea/coffee maker in all rooms ,8.9,Double Room
4995,"Ernakulam, Cochin",,Non-smoking rooms Room service Free WiFi Free parking Family rooms 24-hour front desk ,7.6,Economy Double or Twin Room
25000,"Fort Kochi, Cochin",,Indoor swimming pool Airport shuttle Non-smoking rooms Room service Restaurant Free WiFi Free parking 24-hour front desk Tea/coffee maker in all rooms Exceptional breakfast,9.1,Superior Double Room
7500,"Fort Kochi, Cochin",,Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Free parking Family rooms 24-hour front desk ,8.085106382978724,Small Double or Twin Room
7500,"Fort Kochi, Cochin",,Non-smoking rooms Room service Family rooms 24-hour front desk ,8.6,Double Room
5550,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Free WiFi Free parking 24-hour front desk Exceptional breakfast,9.0,Budget Twin Room with Fan
17820,"Fort Kochi, Cochin",,Outdoor swimming pool Airport shuttle Non-smoking rooms Room service Restaurant Free WiFi Facilities for disabled guests Family rooms 24-hour front desk Breakfast ,7.7,Museum Room
18000,"Ernakulam, Cochin",,Indoor swimming pool Airport shuttle Non-smoking rooms Room service Restaurant Free WiFi 24-hour front desk Bar Breakfast ,7.7,Deluxe Queen Room
7875,"Ernakulam, Cochin",,Airport shuttle Non-smoking rooms Room service Restaurant Free WiFi Free parking Family rooms 24-hour front desk Superb breakfast,7.4,Deluxe Double Room
4203,"Fort Kochi, Cochin",,Airport shuttle Fitness centre Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Family rooms 24-hour front desk Very good breakfast,9.4,Economy Double Room
5000,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Free WiFi Free parking 24-hour front desk ,9.4,Budget Twin Room
5000,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Free WiFi Free parking 24-hour front desk ,9.4,Budget Twin Room
14795,"Ernakulam, Cochin",,Airport shuttle Free WiFi Free parking Family rooms 24-hour front desk Tea/coffee maker in all rooms Good breakfast,8.1,Standard Double Room with Fan
19995,"Fort Kochi, Cochin",,Free WiFi Good breakfast,7.9,Standard Double Room
5000,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Room service Free WiFi Family rooms 24-hour front desk ,8.5,Budget Double Room
2326,"Ernakulam, Cochin",,Free WiFi ,1.0,Classic Triple Room
12928,Cochin,,Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk ,8.8,Standard Double Room
5545,"Ernakulam, Cochin",,Restaurant Free WiFi Free parking Breakfast ,7.2,Economy Double Room
15277,"Fort Kochi, Cochin",,Non-smoking rooms Free WiFi 24-hour front desk ,9.0,Deluxe Double Room
12500,"Ernakulam, Cochin",,Airport shuttle Non-smoking rooms Room service Free WiFi Free parking Facilities for disabled guests Family rooms 24-hour front desk ,7.5,Deluxe Suite
11000,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk Tea/coffee maker in all rooms Exceptional breakfast,9.1,Budget Double Room
